施設、場所、イベントの名称,施設、場所、イベントの名称（読み）,ジャンル,キャッチコピー,説明文,経度（世界測地系）,緯度（世界測地系）,郵便番号,住所,ビル名,フロア数,電話番号,FAX番号,アクセス,予算,定員、収容人数,定員、収容人数コメント,取扱商品、メニュー、プラン,取扱商品、メニュー、プラン 料金,取扱商品、メニュー、プラン 写真ファイル名,取扱商品、メニュー、プラン 写真キャプション,写真ファイル名,写真キャプション,ホームページURL（PC）,ホームページURL（モバイル）,支払方法,ペット同伴の可・不可,コピーライト・情報提供元,注意事項,その他説明、備考
千葉市 天戸北緑地,アマドキタリョクチ,,,,140.085193,35.681169,,千葉市花見川区天戸町,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 浜田川横水路緑地,ハマダガワヨコスイロリョクチ,,,,140.044293,35.658135,,千葉市花見川区幕張町１丁目７６９５－１他,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 花島公園,ハナシマコウエン,,,,140.097403,35.681971,,千葉市花見川区花島町３０８他,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 宇那谷第２緑地,ウナヤダイ２リョクチ,,,,140.141732,35.689744,,千葉市花見川区宇那谷町２１０３－２他,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 花見川千本桜緑地,ハナミガワセンボンザクラリョクチ,,,,140.067557,35.663799,,千葉市花見川区瑞穂１丁目３－１他,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 宇那谷第１緑地,ウナヤダイ１リョクチ,,,,140.140343,35.692226,,千葉市花見川区宇那谷町２１０７－４,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 宇那谷第３緑地,ウナヤダイ３リョクチ,,,,140.135854,35.696666,,千葉市花見川区宇那谷町２１１７－６,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 こてはし台緑地,コテハシダイリョクチ,,,,140.115497,35.686809,,千葉市花見川区こてはし台４丁目,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 宮の杜第１緑地,ミヤノモリダイ１リョクチ,,,,140.114357,35.664247,,千葉市花見川区犢橋町２１９８,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 朝日ヶ丘緑地,アサヒガオカリョクチ,,,,140.08765,35.655375,,千葉市花見川区朝日ケ丘３丁目４５５－２３他,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 犢橋貝塚公園,コテハシカイヅカコウエン,,,,140.09625,35.663745,,千葉市花見川区さつきが丘１丁目１８,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 幕張町椎崎公園,マクハリチョウシイザキコウエン,,,,140.05817,35.6684466,,千葉市花見川区幕張町４丁目,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 幕張町３丁目花立公園,マクハリチョウ３チョウメハナダテコウエン,,,,140.053542,35.6660128,,千葉市花見川区幕張町３丁目１４６９－１９,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 東寺山第２公園,ヒガシテラヤマダイ２コウエン,,,,140.128325,35.627908,,千葉市若葉区東寺山町４４６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀の台公園,ツガノダイコウエン,,,,140.14321,35.645111,,千葉市若葉区都賀の台３丁目１４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品公園,タカシナコウエン,,,,140.133835,35.619474,,千葉市若葉区高品町１５９６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 愛生町公園,アイオイチョウコウエン,,,,140.132869,35.653865,,千葉市若葉区愛生町１０５－５他,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 加曽利公園,カソリコウエン,,,,140.163655,35.61554,,千葉市若葉区加曽利町１２９４番１他,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源弁天公園,ミナモトベンテンコウエン,,,,140.140033,35.646593,,千葉市若葉区みつわ台５丁目４７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台南第２公園,チシロダイミナミダイ２コウエン,,,,140.187928,35.618664,,千葉市若葉区千城台南２丁目２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東公園,チシロダイヒガシコウエン,,,,140.19429,35.620191,,千葉市若葉区千城台東２丁目１７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 鳥ヶ沢公園,トリガサワコウエン,,,,140.176758,35.593737,,千葉市若葉区大宮台５丁目３０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 道塚公園,ミチヅカコウエン,,,,140.174896,35.627267,,千葉市若葉区小倉台３丁目１０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大宮台公園,オオミヤダイコウエン,,,,140.180636,35.593471,,千葉市若葉区大宮台５丁目３４４６－１８他,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台南第５公園,チシロダイミナミダイ５コウエン,,,,140.189927,35.613284,,千葉市若葉区千城台南４丁目１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若台第２公園,ワカダイダイ２コウエン,,,,140.170746,35.648466,,千葉市若葉区若松台１丁目９８４－２６４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品西第１公園,タカシナニシダイ１コウエン,,,,140.13282,35.62443,,千葉市若葉区高品町８９９－２１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 上林房公園,ジョウリンボウコウエン,,,,140.144965,35.634697,,千葉市若葉区西都賀１丁目６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 広作公園,ヒロサクコウエン,,,,140.175165,35.631035,,千葉市若葉区小倉台５丁目４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小倉町公園,オグラチョウコウエン,,,,140.174036,35.620091,,千葉市若葉区小倉町７５３－２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀西公園,ツガニシコウエン,,,,140.144168,35.631377,,千葉市若葉区都賀１丁目６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台南公園,チシロダイミナミコウエン,,,,140.189523,35.620349,,千葉市若葉区千城台南１丁目８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 新宮南公園,シングウミナミコウエン,,,,140.177813,35.598181,,千葉市若葉区大宮町３３４３－２４８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 みつわ台２丁目公園,ミツワダイ２チョウメコウエン,,,,140.132099,35.637814,,千葉市若葉区みつわ台２丁目２９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 原町さくら公園,ハラマチサクラコウエン,,,,140.142396,35.636644,,千葉市若葉区原町９２７－４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源西公園,ミナモトニシコウエン,,,,140.133763,35.647399,,千葉市若葉区みつわ台５丁目９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源南公園,ミナモトミナミ,,,,140.133092,35.642713,,千葉市若葉区みつわ台４丁目１１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀の台４丁目公園,ツガノダイ４チョウメコウエン,,,,140.145376,35.640377,,千葉市若葉区都賀の台４丁目４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 森水公園,モリミズコウエン,,,,140.178572,35.627929,,千葉市若葉区小倉台７丁目４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 みつわ台１丁目公園,ミツワダイ１チョウメコウエン,,,,140.129628,35.634041,,千葉市若葉区みつわ台１丁目１０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 みつわ台３丁目公園,ミツワダイ３チョウメコウエン,,,,140.138332,35.638446,,千葉市若葉区みつわ台３丁目１９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 みつわ台４丁目公園,ミツワダイ４チョウメコウエン,,,,140.135331,35.644279,,千葉市若葉区みつわ台４丁目２０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀東公園,ツガヒガシコウエン,,,,140.151945,35.636229,,千葉市若葉区都賀３丁目２７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大広公園,オオヒロコウエン,,,,140.148246,35.639303,,千葉市若葉区西都賀２丁目２７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高根公園,タカネコウエン,,,,140.219524,35.598868,,千葉市若葉区中田町２３８２－７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源北公園,ミナモトキタコウエン,,,,140.137747,35.648202,,千葉市若葉区みつわ台５丁目２３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 辰巳公園,タツミコウエン,,,,140.189183,35.625981,,千葉市若葉区千城台北２丁目２０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 中広公園,ナカヒロコウエン,,,,140.149535,35.639228,,千葉市若葉区西都賀３丁目２５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 谷ッ上公園,ヤツガミコウエン,,,,140.150834,35.625502,,千葉市若葉区貝塚町１３２６－３０６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第１０公園,チシロダイヒガシダイ１０コウエン,,,,140.199588,35.61888,,千葉市若葉区千城台東４丁目３３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台南第３公園,チシロダイミナミダイ３コウエン,,,,140.187895,35.615868,,千葉市若葉区千城台南３丁目３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台西第３公園,チシロダイニシダイ３コウエン,,,,140.183251,35.625012,,千葉市若葉区千城台西１丁目４７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第３公園,チシロダイヒガシダイ３コウエン,,,,140.194425,35.616833,,千葉市若葉区千城台東３丁目１３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 峠野公園,トウゲノコウエン,,,,140.183991,35.589202,,千葉市若葉区大宮台２丁目１５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀の台１丁目公園,ツガノダイ１チョウメコウエン,,,,140.141589,35.640638,,千葉市若葉区都賀の台１丁目１５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 柳沢公園,ヤナギサワコウエン,,,,140.171522,35.625267,,千葉市若葉区小倉台２丁目９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大宮北公園,オオミヤキタコウエン,,,,140.177024,35.604012,,千葉市若葉区大宮町２８８０－２０９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大林公園,オオバヤシコウエン,,,,140.184641,35.592952,,千葉市若葉区大宮台１丁目１６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 御成台３丁目公園,オナリダイ３チョウメコウエン,,,,140.20352,35.634208,,千葉市若葉区御成台３丁目１９－１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 御成台１丁目公園,オナリダイ１チョウメコウエン,,,,140.194586,35.626998,,千葉市若葉区御成台１－９－２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都賀の台３丁目公園,ツガノダイ３チョウメコウエン,,,,140.14468,35.643438,,千葉市若葉区都賀の台３丁目６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 西都賀中央公園,ニシツガチュウオウコウエン,,,,140.145861,35.637316,,千葉市若葉区西都賀２丁目４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 吉岡公園,ヨシオカコウエン,,,,140.183924,35.628278,,千葉市若葉区千城台北１丁目５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第６公園,チシロダイヒガシダイ６コウエン,,,,140.196376,35.615579,,千葉市若葉区千城台東４丁目１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 御成台２丁目公園,オナリダイ２チョウメコウエン,,,,140.19844,35.633004,,千葉市若葉区御成台２－９－７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小桜公園,コザクラコウエン,,,,140.164421,35.630164,,千葉市若葉区桜木町１１６－１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木南公園,サクラギミナミコウエン,,,,140.153021,35.621952,,千葉市若葉区桜木５丁目４４５－１６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 田向公園,タムカイコウエン,,,,140.158914,35.613999,,千葉市若葉区加曽利町９７２－２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第９公園,チシロダイヒガシダイ９コウエン,,,,140.198713,35.617125,,千葉市若葉区千城台東４丁目２２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 原町第１公園,ハラマチダイ１コウエン,,,,140.137495,35.632784,,千葉市若葉区原町９０３－２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 多部田第２公園,タベタダイ２コウエン,,,,140.194811,35.598081,,千葉市若葉区多部田町７５４－５０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 東寺山第３公園,ヒガシテラヤマダイ３コウエン,,,,140.127562,35.629178,,千葉市若葉区東寺山町４２９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松台公園,ワカマツダイコウエン,,,,140.176655,35.650318,,千葉市若葉区若松台３丁目１７９－２６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 ことぶき公園,コトブキコウエン,,,,140.154538,35.624166,,千葉市若葉区桜木５丁目４６０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 多部田第１公園,タベタダイ１コウエン,,,,140.194484,35.595763,,千葉市若葉区多部田町７５９－５６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 宮津公園,ミヤヅコウエン,,,,140.1813,35.590401,,千葉市若葉区大宮台３丁目１７８５－４８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第２公園,チシロダイヒガシダイ２コウエン,,,,140.191831,35.620364,,千葉市若葉区千城台東１丁目６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台北公園,チシロダイキタコウエン,,,,140.190588,35.623028,,千葉市若葉区千城台北３丁目１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 原町つつじ公園,ハラマチツツジコウエン,,,,140.141391,35.634803,,千葉市若葉区原町９１７－７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台西第２公園,チシロダイニシダイ２コウエン,,,,140.185545,35.619268,,千葉市若葉区千城台西２丁目２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第４公園,チシロダイヒガシダイ４コウエン,,,,140.197792,35.619283,,千葉市若葉区千城台東３丁目２４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 木戸公園,キドコウエン,,,,140.180944,35.588991,,千葉市若葉区大宮台３丁目１１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高根児童公園,タカネジドウコウエン,,,,140.222506,35.600273,,千葉市若葉区中田町１１９５－２０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小峯公園,コミネコウエン,,,,140.185628,35.625573,,千葉市若葉区千城台北１丁目３０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 多部田第３公園,タベタダイ３コウエン,,,,140.19222,35.596406,,千葉市若葉区多部田町７５２－２３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 新宮東公園,シングウヒガシコウエン,,,,140.180937,35.599479,,千葉市若葉区大宮町３１４３－５８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松台西公園,ワカマツダイニシコウエン,,,,140.174272,35.651645,,千葉市若葉区若松台３丁目２０１－２１３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松台東公園,ワカマツダイヒガシコウエン,,,,140.178708,35.649944,,千葉市若葉区若松台３丁目１８２－８２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大宮公園,オオミヤコウエン,,,,140.17907,35.596661,,千葉市若葉区大宮町３３４０－３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 倉宮公園,クラミヤコウエン,,,,140.182343,35.597904,,千葉市若葉区大宮台７丁目１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 みつわ台３丁目北公園,ミツワダイ３チョウメキタコウエン,,,,140.138876,35.642271,,千葉市若葉区みつわ台３丁目３２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品台公園,タカシナダイコウエン,,,,140.148261,35.641234,,千葉市若葉区西都賀５丁目５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高根第３公園,タカネダイ３コウエン,,,,140.221847,35.598417,,千葉市若葉区中田町１１９３－４７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木第２公園,サクラギダイ２コウエン,,,,140.157802,35.636502,,千葉市若葉区桜木町５９５－２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松台北公園,ワカマツダイキタコウエン,,,,140.174087,35.65344,,千葉市若葉区若松台３丁目２０１－１２４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 ほおじろ台公園,ホオジロダイコウエン,,,,140.169609,35.619236,,千葉市若葉区加曽利町１８００－１６３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 新宮西公園,シングウニシコウエン,,,,140.177733,35.600424,,千葉市若葉区大宮町３０７５－５６,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 東寺山ひまわり公園,ヒガシテラヤマヒマワリコウエン,,,,140.139612,35.634883,,千葉市若葉区東寺山町１０７４－３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源第２公園,ミナモトダイ２コウエン,,,,140.129216,35.640072,,千葉市若葉区源町１０００,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 東寺山あじさい公園,ヒガシテラヤマアジサイコウエン,,,,140.134542,35.633931,,千葉市若葉区東寺山町１０５３－４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松公園,ワカマツコウエン,,,,140.165033,35.640019,,千葉市若葉区若松町３６１－５４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 貝塚第２公園,カイヅカダイ２コウエン,,,,140.151576,35.631784,,千葉市若葉区貝塚町１１３４－３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 ほおじろ台第２公園,ホオジロダイダイ２コウエン,,,,140.167658,35.617223,,千葉市若葉区加曽利町１８００－２７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台西第５公園,チシロダイニシダイ５コウエン,,,,140.183364,35.620873,,千葉市若葉区千城台西２丁目１－１００５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 貝塚公園,カイヅカコウエン,,,,140.142715,35.617885,,千葉市若葉区貝塚町５５６－１３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 木谷公園,コタニコウエン,,,,140.158611,35.611642,,千葉市若葉区加曽利町１０９５－１３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 東宮公園,ヒガシミヤコウエン,,,,140.181899,35.599709,,千葉市若葉区大宮台７丁目１７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高根第２公園,タカネダイ２コウエン,,,,140.216531,35.596534,,千葉市若葉区高根町９１４－１２２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 東寺山第１公園,ヒガシテラヤマダイ１コウエン,,,,140.128825,35.625503,,千葉市若葉区東寺山町７７７－１２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木北公園,サクラギキタコウエン,,,,140.159606,35.638107,,千葉市若葉区桜木町６２２－１０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 源第３公園,ミナモトダイ３コウエン,,,,140.128864,35.644271,,千葉市若葉区源町３１１－５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松第３公園,ワカマツダイ３コウエン,,,,140.153098,35.653861,,千葉市若葉区若松町９０２－１９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜ヶ丘第１公園,サクラガオカダイ１コウエン,,,,140.171694,35.614244,,千葉市若葉区加曽利町１４７５－１１５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第８公園,チシロダイヒガシダイ８コウエン,,,,140.199201,35.616036,,千葉市若葉区千城台東４丁目１９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台北第２公園,チシロダイキタダイ２コウエン,,,,140.182273,35.628116,,千葉市若葉区千城台北１丁目３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小倉町第４公園,オグラチョウダイ４コウエン,,,,140.162356,35.633106,,千葉市若葉区小倉町１７６３－７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台南第４公園,チシロダイミナミダイ４コウエン,,,,140.187096,35.61735,,千葉市若葉区千城台南２丁目５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若台第１公園,ワカダイダイ１コウエン,,,,140.169794,35.650037,,千葉市若葉区若松台１丁目９８２－３８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品本郷公園,タカシナホンゴウコウエン,,,,140.13433,35.624545,,千葉市若葉区高品町４６１－４３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 加上公園,カガミコウエン,,,,140.161886,35.616739,,千葉市若葉区加曽利町１０３２－３７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木東第３公園,サクラギヒガシダイ３コウエン,,,,140.160013,35.624848,,千葉市若葉区桜木３丁目２３０－９０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第７公園,チシロダイヒガシダイ７コウエン,,,,140.196798,35.616846,,千葉市若葉区千城台東３丁目１７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜ヶ丘第２公園,サクラガオカダイ２コウエン,,,,140.172395,35.614583,,千葉市若葉区加曽利町１４７５－５９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台西第４公園,チシロダイニシダイ４コウエン,,,,140.183607,35.62002,,千葉市若葉区千城台西２丁目１７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 道丸公園,ミチマルコウエン,,,,140.158654,35.616601,,千葉市若葉区加曽利町９７９－５５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 山野辺公園,ヤマノベコウエン,,,,140.161443,35.61164,,千葉市若葉区加曽利町１０６６－１０３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 藤桜公園,フジサクラコウエン,,,,140.157199,35.631765,,千葉市若葉区桜木町５４３－５７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 愛生公園,アイオイコウエン,,,,140.129785,35.65148,,千葉市若葉区愛生町１２２－３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小倉町第３公園,オグラチョウダイ３コウエン,,,,140.171482,35.631861,,千葉市若葉区小倉町１７４４－２１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木東公園,サクラギヒガシコウエン,,,,140.156399,35.622956,,千葉市若葉区桜木４丁目３５９－２４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 千城台東第５公園,チシロダイヒガシダイ５コウエン,,,,140.193321,35.613016,,千葉市若葉区千城台東４丁目５,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 中尾余公園,ナカビヨコウエン,,,,140.159689,35.633327,,千葉市若葉区桜木町５３３－７１,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 京桜公園,キョウザクラコウエン,,,,140.160121,35.617952,,千葉市若葉区桜木２丁目１２－２７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木第３公園,サクラギダイ３コウエン,,,,140.156009,35.635765,,千葉市若葉区桜木町５７０－３４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品北公園,タカシナキタコウエン,,,,140.144342,35.629423,,千葉市若葉区高品町３３－１０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 大谷公園,オオタニコウエン,,,,140.16135,35.613771,,千葉市若葉区加曽利町１２１２－６８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木東第５公園,サクラギヒガシダイ５コウエン,,,,140.156317,35.625065,,千葉市若葉区桜木４丁目３５２－４２他,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 立木公園,タチキコウエン,,,,140.160212,35.614141,,千葉市若葉区加曽利町１０４６－８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高の輪公園,タカノワコウエン,,,,140.160284,35.61114,,千葉市若葉区加曽利町１０６６－４９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松第８公園,ワカマツダイ８コウエン,,,,140.153753,35.647453,,千葉市若葉区若松町５４３－１４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 池の谷公園,イケノヤコウエン,,,,140.157046,35.616383,,千葉市若葉区加曽利町９５８－２３,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 高品宮ノ腰公園,タカシナミヤノコシコウエン,,,,140.136364,35.625292,,千葉市若葉区高品町９６３－７,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 小倉町第２公園,オグラチョウダイ２コウエン,,,,140.167258,35.63125,,千葉市若葉区小倉町１７５５－１０４,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若松第２公園,ワカマツダイ２コウエン,,,,140.167166,35.638509,,千葉市若葉区若松町３６１－２９９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若台第４公園,ワカダイダイ４コウエン,,,,140.167305,35.645196,,千葉市若葉区若松町４０７－５０,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 都ヶ丘公園,ミヤコガオカコウエン,,,,140.15172,35.610579,,千葉市若葉区加曽利町８１２－２８,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 桜木南第２公園,サクラギミナミダイ２コウエン,,,,140.164213,35.620536,,千葉市若葉区桜木２丁目１９５－３２,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
千葉市 若里公園,ワカサトコウエン,,,,140.171692,35.61619,,千葉市若葉区加曽利町１５２８－９,,,043-228-0080,043-228-5421,,,,,,,,,,,,,,,,,
